team 1,team 2,team 1 elo,team 2 elo,win,score advantage,team 1 xg for,team 1 xg against,team 1 xg diff,team 2 xg for,team 2 xg against,team 2 xg diff
Korea Republic,Ghana,1788,1593,0,-1,0.95,1.52,-0.57,0.8,1.75,-0.95
Brazil,Switzerland,2133,1878,1,1,2.1,0.62,1.48,1.2,1.18,0.02
Portugal,Uruguay,1998,1904,1,2,1.78,0.9,0.88,1.1,1.28,-0.18
Netherlands,Qatar,2073,1577,1,2,1.65,1.05,0.6,0.65,2.05,-1.4
Ecuador,Senegal,1841,1745,0,-1,1.35,1.18,0.17,1.22,1.3,-0.08
Wales,England,1716,1966,0,-3,0.75,1.68,-0.93,1.98,0.8,1.18
Iran,United States,1780,1817,0,-1,0.78,1.82,-1.04,1.28,1.12,0.16
Australia,Denmark,1772,1883,1,1,0.98,1.48,-0.5,1.12,1.15,-0.03
Tunisia,France,1745,2081,1,1,0.9,1.35,-0.45,2.05,1.15,0.9
Poland,Argentina,1801,2144,0,-2,1.02,1.45,-0.43,1.8,0.88,0.92
Saudi Arabia,Mexico,1644,1812,0,-1,0.72,1.5,-0.78,1.15,1.4,-0.25
Croatia,Belgium,1950,1947,,0,1.38,0.95,0.43,1.08,1.25,-0.17
Canada,Morocco,1711,1866,0,-1,0.83,1.88,-1.05,1.05,0.65,0.4
Japan,Spain,1851,1997,1,1,1.18,1.22,-0.04,1.92,0.85,1.07
Costa Rica,Germany,1737,1955,0,-2,0.85,1.8,-0.95,1.6,1.42,0.18
Ghana,Uruguay,1593,1904,0,-2,0.8,1.75,-0.95,1.1,1.28,-0.18
Korea Republic,Portugal,1788,1998,1,1,0.95,1.52,-0.57,1.78,0.9,0.88
Serbia,Switzerland,1836,1878,0,-1,0.92,1.6,-0.68,1.2,1.18,0.02
Cameroon,Brazil,1676,2133,1,1,1,1.58,-0.58,2.1,0.62,1.48
Netherlands,United States,2073,1817,1,2,1.65,1.05,0.6,1.28,1.12,0.16
Argentina,Australia,2144,1772,1,1,1.8,0.88,0.92,0.98,1.48,-0.5
France,Poland,2081,1801,1,2,2.05,1.15,0.9,1.02,1.45,-0.43
England,Senegal,1966,1745,1,3,1.98,0.8,1.18,1.22,1.3,-0.08
Japan,Croatia,1851,1950,,0,1.18,1.22,-0.04,1.38,0.95,0.43
Brazil,Korea Republic,2133,1788,1,3,2.1,0.62,1.48,0.95,1.52,-0.57
Morocco,Spain,1866,1997,,0,1.05,0.65,0.4,1.92,0.85,1.07
Portugal,Switzerland,1998,1878,1,5,1.78,0.9,0.88,1.2,1.18,0.02
Croatia,Brazil,1950,2133,,0,1.38,0.95,0.43,2.1,0.62,1.48
Netherlands,Argentina,2073,2144,,0,1.65,1.05,0.6,1.8,0.88,0.92
Morocco,Portugal,1866,1998,1,1,1.05,0.65,0.4,1.78,0.9,0.88
England,France,1966,2081,0,-1,1.98,0.8,1.18,2.05,1.15,0.9
Argentina,Croatia,2144,1950,1,3,1.8,0.88,0.92,1.38,0.95,0.43
France,Morocco,2081,1866,1,2,2.05,1.15,0.9,1.05,0.65,0.4
Croatia,Morocco,1950,1866,1,1,1.38,0.95,0.43,1.05,0.65,0.4
Argentina,France,2144,2081,,0,1.8,0.88,0.92,2.05,1.15,0.9
